date,y_true,fcast_comby,hmean,nr_comby,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf
2017-02-01,0.039059,0.007284794703227406,0.006505003623188407,2,0,0,0,1,0,0,0,0,1,0,0,0
2017-03-01,0.001264,0.008016053970727209,0.006544272617611581,2,0,0,0,1,0,0,0,0,1,0,0,0
2017-04-01,0.010291,0.0066342172941689925,0.006537910843373494,2,0,0,0,1,0,0,0,0,1,0,0,0
2017-05-01,0.014052,0.007976874103038411,0.0065424271961492175,2,0,0,0,1,0,0,0,0,1,0,0,0
2017-06-01,0.005198,0.008013037818031945,0.006551453125,2,0,0,0,1,0,0,0,0,1,0,0,0
2017-07-01,0.020096,0.006911634958931491,0.006549828331332533,2,0,0,0,1,0,0,0,0,1,0,0,0
2017-08-01,0.001538,0.006914581833832367,0.006566070743405276,2,0,0,0,1,0,0,0,0,1,0,0,0
2017-09-01,0.01915,0.008764428390346597,0.006560049101796407,2,0,0,0,1,0,0,0,0,1,0,0,0
2017-10-01,0.023258,0.005723597446358167,0.006575108851674641,2,0,0,0,1,0,0,0,0,1,0,0,0
2017-11-01,0.030489,0.007059925035224125,0.006595040621266428,2,0,0,0,1,0,0,0,0,1,0,0,0
2017-12-01,0.010349,0.007345010026897115,0.00662355369928401,2,0,0,0,1,0,0,0,0,1,0,0,0
2018-01-01,0.05716,0.007847637583587983,0.006627994040524434,2,0,0,0,1,0,0,0,0,1,0,0,0
2018-02-01,-0.038761,0.00484207817170224,0.00668815119047619,2,0,0,0,1,0,0,0,0,1,0,0,0
2018-03-01,-0.026559,0.0029251099570043676,0.006634109393579072,2,0,0,0,1,0,0,0,0,1,0,0,0
2018-04-01,0.00257,0.007310149292888965,0.006594687648456057,2,0,0,0,1,0,0,0,0,1,0,0,0
2018-05-01,0.0224,0.004783741341954805,0.006589913404507711,2,0,0,0,1,0,0,0,0,1,0,0,0
2018-06-01,0.00544,0.007910924567817973,0.006608645734597157,2,0,0,0,1,0,0,0,0,1,0,0,0
2018-07-01,0.035744,0.006996790344726882,0.006607262721893492,2,0,0,0,1,0,0,0,0,1,0,0,0
2018-08-01,0.031338,0.006075922715310436,0.006641703309692672,2,0,0,0,1,0,0,0,0,1,0,0,0
2018-09-01,0.003538,0.00812951147169106,0.006670860684769776,2,0,0,0,1,0,0,0,0,1,0,0,0
2018-10-01,-0.069909,0.003717955531331748,0.006667166273584906,2,0,0,0,1,0,0,0,0,1,0,0,0
